price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,stock_diff,crypy_diff,stock_price
16986.84,10830000000.0,326000000000.0,9202993.0,17429190.07,19013329.56,3272764.0,900000000.0,1440000000.0,3.41,760.9799999999996,-368.90999999999985,11114.15
17355.75,23500000000.0,333000000000.0,9202037.0,17425907.08,18999429.17,3210495.0,1110000000.0,1520000000.0,3.4,-263.03000000000065,-2029.0800000000017,10353.17
19384.83,27710000000.0,372000000000.0,9201081.0,17424066.49,19018811.41,3166156.0,1000000000.0,1270000000.0,3.43,51.68000000000029,-1380.119999999999,10616.2
20764.95,12720000000.0,399000000000.0,9200181.0,17423104.79,19037696.22,3210604.0,740000000.0,483000000.0,3.1,0.0,-437.369999999999,10564.52
21202.32,7550000000.0,407000000000.0,9199343.0,17422151.56,19038957.98,3206540.0,420000000.0,294000000.0,2.59,0.0,-136.47999999999956,10564.52
21338.8,8270000000.0,410000000000.0,9198375.0,17421356.76,19040105.61,3204249.0,279000000.0,237000000.0,2.93,89.27000000000044,580.9399999999987,10564.52
20757.86,15260000000.0,398000000000.0,9197593.0,17420484.21,19038487.99,3222991.0,1170000000.0,2000000000.0,3.26,132.3099999999995,514.4900000000016,10475.25
20243.37,10170000000.0,389000000000.0,9196568.0,17419713.06,19031964.41,3163222.0,436000000.0,368000000.0,3.41,-181.85999999999876,-186.38000000000102,10342.94
20429.75,12610000000.0,392000000000.0,9195775.0,17418742.14,19030456.51,3175343.0,440000000.0,1430000000.0,2.99,-366.0500000000011,-71.13000000000102,10524.8
20500.88,9200000000.0,394000000000.0,9194837.0,17417907.94,19032671.97,3127456.0,460000000.0,484000000.0,3.16,-97.29999999999927,-6.219999999997526,10890.85
20507.1,10340000000.0,394000000000.0,9193775.0,17417015.04,19031542.25,3173203.0,420000000.0,338000000.0,3.36,0.0,-218.14000000000306,10988.15
20725.24,6440000000.0,398000000000.0,9192950.0,17415933.72,19031075.6,3194819.0,209000000.0,239000000.0,2.58,0.0,-88.92999999999665,10988.15
20814.17,8860000000.0,399000000000.0,9192037.0,17415101.4,19031454.89,3182095.0,279000000.0,321000000.0,2.91,-114.30000000000109,430.869999999999,10988.15
20383.3,10070000000.0,391000000000.0,9191050.0,17414267.16,19029875.63,3115153.0,354000000.0,441000000.0,3.23,309.78000000000065,-224.95000000000073,11102.45
20608.25,11790000000.0,395000000000.0,9190200.0,17413387.7,19026834.15,3097286.0,491000000.0,374000000.0,3.07,-178.3199999999997,8.279999999998836,10792.67
20599.97,14220000000.0,395000000000.0,9189237.0,17412407.19,19029073.0,3090063.0,785000000.0,2280000000.0,3.54,-228.13000000000102,793.1200000000026,10970.99
19806.85,11730000000.0,380000000000.0,9188462.0,17411654.81,19023141.84,3180681.0,459000000.0,578000000.0,2.92,246.51000000000022,455.15999999999985,11199.12
19351.69,8570000000.0,371000000000.0,9187618.0,17410899.54,19011316.49,3110062.0,349000000.0,324000000.0,3.08,0.0,-15.200000000000728,10952.61
19366.89,5300000000.0,372000000000.0,9186675.0,17409978.63,19011641.12,3130530.0,153000000.0,217000000.0,2.53,0.0,186.89999999999782,10952.61
19179.99,3350000000.0,368000000000.0,9185831.0,17409081.39,19008572.72,3101965.0,171000000.0,159000000.0,2.68,92.89000000000124,144.35000000000218,10952.61
19035.64,9150000000.0,365000000000.0,9184843.0,17408051.57,19007647.95,3053298.0,272000000.0,317000000.0,3.08,244.8799999999992,-95.15999999999985,10859.72
19130.8,7900000000.0,367000000000.0,9183937.0,17407282.29,19005833.54,3038959.0,331000000.0,306000000.0,3.11,-65.67000000000007,-75.79000000000087,10614.84
19206.59,6760000000.0,368000000000.0,9182981.0,17406358.77,19005571.85,3021227.0,273000000.0,303000000.0,3.01,-91.88999999999942,-257.40000000000146,10680.51
19463.99,9680000000.0,373000000000.0,9182075.0,17405535.27,19005629.17,3083174.0,377000000.0,350000000.0,2.99,96.60000000000036,17.860000000000582,10772.4
19446.13,7930000000.0,373000000000.0,9181156.0,17404620.13,19006285.37,3047571.0,315000000.0,468000000.0,3.02,0.0,248.0,10675.8
19198.13,4210000000.0,368000000000.0,9180268.0,17403605.52,19003356.84,3059003.0,115000000.0,152000000.0,2.48,0.0,63.909999999999854,10675.8
19134.22,3670000000.0,367000000000.0,9179300.0,17402690.19,19001450.38,3017691.0,178000000.0,176000000.0,2.79,354.40999999999985,-426.3099999999977,10675.8
19560.53,12400000000.0,375000000000.0,9178331.0,17401892.75,19001308.33,2981400.0,402000000.0,423000000.0,3.29,-327.7600000000002,668.6499999999978,10321.39
18891.88,13270000000.0,362000000000.0,9177475.0,17400804.59,19001792.66,2984151.0,517000000.0,703000000.0,3.19,232.04999999999927,-219.48999999999796,10649.15
19111.37,7010000000.0,367000000000.0,9176568.0,17400002.97,18999493.11,2953626.0,510000000.0,382000000.0,3.01,-9.090000000000146,46.14999999999782,10417.1
19065.22,8520000000.0,366000000000.0,9175587.0,17399116.55,18998027.65,2925539.0,365000000.0,335000000.0,3.16,-115.90999999999985,-234.73999999999796,10426.19
19299.96,7290000000.0,370000000000.0,9174568.0,17398017.93,18997779.92,2928324.0,256000000.0,292000000.0,2.93,0.0,-149.10000000000218,10542.1
19449.06,3830000000.0,373000000000.0,9173543.0,17397025.21,18998269.85,2972643.0,141000000.0,196000000.0,2.49,0.0,-27.409999999999854,10542.1
19476.47,3390000000.0,373000000000.0,9172456.0,17396056.3,18997446.22,2943576.0,176000000.0,215000000.0,2.73,-110.29999999999927,-240.41999999999825,10542.1
19716.89,8140000000.000001,378000000000.0,9171412.0,17395060.16,18997382.18,2879370.0,418000000.0,661000000.0,3.14,-420.90999999999985,-437.6800000000003,10652.4
20154.57,11240000000.0,386000000000.0,9170437.0,17393952.2,18999199.24,2862144.0,297000000.0,741000000.0,3.2,-75.32999999999993,53.88999999999942,11073.31
20100.68,10560000000.0,385000000000.0,9169312.0,17392971.62,19005961.11,2840668.0,311000000.0,641000000.0,3.1,-27.770000000000437,104.59999999999854,11148.64
19996.08,11190000000.0,383000000000.0,9168318.0,17392020.44,19006399.19,2819629.0,365000000.0,516000000.0,3.24,360.97999999999956,667.1600000000035,11176.41
19328.92,9470000000.0,370000000000.0,9167337.0,17391061.4,18994128.62,2832704.0,324000000.0,393000000.0,3.11,0.0,133.3399999999965,10815.43
19195.58,5980000000.0,368000000000.0,9166368.0,17389695.24,18988871.42,2910301.0,263000000.0,197000000.0,2.51,0.0,-128.8199999999997,10815.43
19324.4,4800000000.0,370000000000.0,9165231.0,17388899.09,18989606.53,2931468.0,156000000.0,305000000.0,2.73,239.8099999999995,-246.10999999999694,10815.43
19570.51,13740000000.0,375000000000.0,9164150.0,17387871.19,18989181.24,2937994.0,505000000.0,1220000000.0,3.39,-161.88999999999942,215.0799999999981,10575.62
19355.43,12500000000.0,371000000000.0,9163275.0,17386871.31,18989062.44,2907126.0,407000000.0,836000000.0,3.08,-314.1299999999992,243.5,10737.51
19111.93,16790000000.0,366000000000.0,9162337.0,17385946.7,18987774.47,2869669.0,546000000.0,494000000.0,3.0,222.13999999999942,-639.869999999999,11051.64
19751.8,19120000000.0,378000000000.0,9161537.0,17385149.78,18984644.48,2868962.0,548000000.0,454000000.0,3.19,26.579999999999927,729.2199999999975,10829.5
19022.58,13650000000.0,364000000000.0,9160593.0,17384297.67,18984399.08,2910706.0,285000000.0,468000000.0,3.06,0.0,63.06000000000131,10802.92
18959.52,6180000000.0,363000000000.0,9159650.0,17383300.12,18980700.28,2967683.0,200000000.0,147000000.0,2.42,0.0,-116.57999999999811,10802.92
19076.1,7090000000.0,366000000000.0,9158768.0,17382314.94,18980811.71,2933974.0,157000000.0,152000000.0,2.62,-65.01000000000022,75.02999999999884,10802.92
19001.07,12110000000.0,364000000000.0,9157956.0,17381542.74,18982588.06,2901914.0,417000000.0,417000000.0,3.2,-198.8799999999992,6.020000000000437,10867.93
18995.05,11720000000.0,364000000000.0,9157125.0,17380674.88,18982214.7,2915385.0,380000000.0,429000000.0,2.85,-153.38000000000102,-73.81999999999971,11066.81
19068.87,13310000000.0,365000000000.0,9156237.0,17379799.92,18975967.14,2884880.0,427000000.0,430000000.0,3.05,-204.85999999999876,-80.35000000000218,11220.19
19149.22,10760000000.0,367000000000.0,9155293.0,17378976.19,18977081.68,2898191.0,313000000.0,406000000.0,3.11,-109.97000000000116,187.7400000000016,11425.05
18961.48,12690000000.0,363000000000.0,9154475.0,17378000.89,18980054.65,2955560.0,461000000.0,540000000.0,2.96,0.0,-824.1000000000022,11535.02
