,price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,labels
1461,3606.84,633000000.0,63040000000.0,17487780.34,15703266.72,17152621.26,22581702.0,123000000.0,117000000.0,3.8,3639.97
1462,3569.38,440000000.0,62450000000.0,17485917.63,15701402.82,17142715.74,22543758.0,47790000.0,45830000.0,3.17,3606.84
1463,3633.15,362000000.0,63520000000.0,17484204.98,15698273.57,17147608.13,22522283.0,52620000.0,55430000.0,3.34,3569.38
1464,3641.17,646000000.0,63660000000.0,17482479.81,15696667.65,17147017.57,22492417.0,122000000.0,142000000.0,3.57,3633.15
1465,3789.86,1100000000.0,66319999999.99999,17480629.52,15695616.25,17145710.71,22473701.0,141000000.0,138000000.0,3.73,3641.17
1466,4019.66,571000000.0,70270000000.0,17478679.2,15692446.41,17166462.6,22465065.0,109000000.0,119000000.0,3.71,3789.86
1467,4023.65,751000000.0,70320000000.0,17476628.88,15685800.28,17160512.47,22448394.0,116000000.0,108000000.0,3.68,4019.66
1468,4032.77,580000000.0,70480000000.0,17474516.04,15684652.22,17162389.13,22439271.0,129000000.0,105000000.0,3.34,4023.65
1469,3949.03,696000000.0,68950000000.0,17472753.27,15683089.18,17163771.8,22431394.0,69200000.0,53910000.0,2.91,4032.77
1470,3847.54,529000000.0,67220000000.0,17470990.53,15681227.22,17145522.25,22413983.0,80230000.0,57810000.0,3.12,3949.03
1471,3797.71,578000000.0,66340000000.0,17468952.81,15677535.17,17145412.65,22398175.0,103000000.0,113000000.0,3.28,3847.54
1472,3845.72,513000000.0,67190000000.0,17467089.91,15675869.77,17141728.56,22383153.0,99190000.0,127000000.0,3.32,3797.71
1473,3851.17,652000000.0,67250000000.0,17465152.08,15674352.71,17145729.46,22376168.0,99830000.0,113000000.0,3.14,3845.72
1474,3726.8,525000000.0,65069999999.99999,17463264.28,15672691.7,17139243.92,22399091.0,47220000.0,54140000.0,2.73,3851.17
1475,3770.92,629000000.0,65879999999.99999,17461401.62,15671367.7,17131281.24,22399258.0,78740000.0,101000000.0,3.03,3726.8
1476,3809.76,587000000.0,66519999999.99999,17459463.93,15669897.51,17136526.99,22410991.0,53420000.0,62250000.0,3.01,3770.92
1477,3883.05,674000000.0,67819999999.99999,17457263.77,15667994.49,17134512.19,22411710.0,106000000.0,113000000.0,3.07,3809.76
1478,3770.97,862000000.0,65780000000.0,17455538.57,15666532.58,17136860.07,22395216.0,163000000.0,165000000.0,3.62,3883.05
1479,3709.95,800000000.0,64780000000.0,17453450.79,15664758.4,17120395.02,22375331.0,117000000.0,113000000.0,3.5,3770.97
1480,3792.86,770000000.0,66190000000.0,17451275.47,15663019.78,17129553.57,22395557.0,111000000.0,99680000.0,3.25,3709.95
1481,3797.89,1060000000.0,66300000000.0,17449312.66,15661614.82,17125594.08,22392980.0,99370000.0,93140000.0,3.0,3792.86
1482,4147.16,1300000000.0,72350000000.0,17447324.88,15659750.72,17142030.09,22381482.0,166000000.0,149000000.0,3.22,3797.89
